2026-05-13 20:57:14 | INFO     | api.main | [OK] Google Gemini ready: gemini-2.5-flash
2026-05-13 20:57:14 | INFO     | api.main | [2] Initializing Groq...
2026-05-13 20:57:14 | INFO     | api.main | [OK] Groq ready: llama-3.1-8b-instant
2026-05-13 20:57:14 | INFO     | api.main | [3] Initializing OpenRouter...
2026-05-13 20:57:15 | INFO     | api.main | [OK] OpenRouter ready: meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:57:15 | INFO     | api.main | [PRIMARY] Primary LLM: gemini-2.5-flash
2026-05-13 20:57:15 | INFO     | api.main | [FALLBACK] Fallback chain: gemini-2.5-flash -> llama-3.1-8b-instant -> meta-llama/llama-3.1-8b-instruct:free
2026-05-13 20:57:15 | INFO     | api.main | ======================================================================
2026-05-13 21:05:41 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 21:05:41 | INFO     | api.main | Retention: 15 days
2026-05-13 21:05:41 | INFO     | api.main | ======================================================================
2026-05-13 21:05:41 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 21:05:41 | INFO     | api.main | ======================================================================
2026-05-13 21:05:41 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 21:05:45 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 21:05:45 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 21:05:45 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:05:45 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:05:45 | ERROR    | api.main | [ERR] Error during startup: float() argument must be a string or a real number, not 'NoneType'
2026-05-13 21:05:45 | ERROR    | api.main | Traceback (most recent call last):
  File "C:\Users\sande\Desktop\AIDocBot\api\main.py", line 689, in startup_event
    vector_weight=float(os.getenv("RETRIEVER_VECTOR_WEIGHT")),
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: float() argument must be a string or a real number, not 'NoneType'

2026-05-13 21:05:58 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 21:05:58 | INFO     | api.main | Retention: 15 days
2026-05-13 21:05:58 | INFO     | api.main | ======================================================================
2026-05-13 21:05:58 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 21:05:58 | INFO     | api.main | ======================================================================
2026-05-13 21:05:58 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-13 21:06:02 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-05-13 21:06:02 | INFO     | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-05-13 21:06:03 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:06:03 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-13 21:06:03 | ERROR    | api.main | [ERR] Error during startup: float() argument must be a string or a real number, not 'NoneType'
2026-05-13 21:06:03 | ERROR    | api.main | Traceback (most recent call last):
  File "C:\Users\sande\Desktop\AIDocBot\api\main.py", line 689, in startup_event
    vector_weight=float(os.getenv("RETRIEVER_VECTOR_WEIGHT")),
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: float() argument must be a string or a real number, not 'NoneType'

2026-05-13 21:42:02 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 21:42:02 | INFO     | api.main | Retention: 15 days
2026-05-13 21:42:02 | INFO     | api.main | ======================================================================
2026-05-13 21:42:02 | INFO     | api.main | STARTING RAG CHATBOT v3.1
2026-05-13 21:42:02 | INFO     | api.main | ======================================================================
2026-05-13 21:42:02 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: BAAI/bge-large-en-v1.5
2026-05-13 21:49:09 | INFO     | api.main | LogManager initialized. Logs: logs
2026-05-13 21:49:09 | INFO     | api.main | Retention: 15 days
2026-05-13 21:49:09 | INFO     | api.main | ======================================================================
2026-05-13 21:49:09 | INFO     | api.main | STARTING RAG CHATBOT v3.1
